owner,name,full_name,html_url,language,stars,forks,open_issues,size_kb,has_wiki,has_pages,has_readme,has_docker,has_cicd,has_tests,repo_age_days,days_since_last_update,quality_label,quality_score,improvement_suggestions
ThalesGroup,fred,ThalesGroup/fred,https://github.com/ThalesGroup/fred,Python,58,29,72,56007,0,0,1,0,1,0,434,0,Beginner,48,"Add unit/integration tests, Add Docker support"
ycdxsb,PocOrExp_in_Github,ycdxsb/PocOrExp_in_Github,https://github.com/ycdxsb/PocOrExp_in_Github,Python,1182,236,0,1148396,1,0,1,0,0,0,1927,0,Beginner,48,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
unshackle-dl,unshackle,unshackle-dl/unshackle,https://github.com/unshackle-dl/unshackle,Python,366,89,6,5698,0,1,1,0,1,1,370,0,Intermediate,72,Add Docker support
mdomke,schwifty,mdomke/schwifty,https://github.com/mdomke/schwifty,Python,256,95,20,3156,1,0,1,0,1,1,3793,0,Intermediate,71,Add Docker support
danzhewuju,PAM-OS,danzhewuju/PAM-OS,https://github.com/danzhewuju/PAM-OS,Python,11,0,0,3868,1,0,1,1,1,1,66,0,Intermediate,56,Great job! Keep it up.
openforcefield,descent,openforcefield/descent,https://github.com/openforcefield/descent,Python,12,6,2,2144,1,1,1,0,1,0,1883,0,Beginner,38,"Add unit/integration tests, Add Docker support"
bojieli,ai-agent-book,bojieli/ai-agent-book,https://github.com/bojieli/ai-agent-book,Python,18041,1767,5,293267,1,1,1,0,1,0,317,0,Production Ready,78,"Add unit/integration tests, Add Docker support"
opengeos,geoai,opengeos/geoai,https://github.com/opengeos/geoai,Python,3198,457,6,6065,0,1,1,1,1,1,1076,0,Intermediate,93,Great job! Keep it up.
DenOfEquity,ersatzForge,DenOfEquity/ersatzForge,https://github.com/DenOfEquity/ersatzForge,Python,38,1,0,33208,0,0,1,0,0,0,458,0,Beginner,22,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
arn-c0de,Crawllama,arn-c0de/Crawllama,https://github.com/arn-c0de/Crawllama,Python,87,5,9,2484,1,0,1,0,1,1,274,0,Intermediate,58,Add Docker support
TheBeachLab,selfhosted,TheBeachLab/selfhosted,https://github.com/TheBeachLab/selfhosted,Python,22,0,0,2249,1,0,1,0,0,0,2158,0,Beginner,18,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Kaoruha,GinkGO,Kaoruha/GinkGO,https://github.com/Kaoruha/GinkGO,Python,17,6,101,66503,1,0,1,1,1,1,2366,0,Intermediate,64,Great job! Keep it up.
LindseyB,dummy,LindseyB/dummy,https://github.com/LindseyB/dummy,Python,67,14,1,71773,0,0,1,0,1,0,2324,0,Beginner,46,"Add unit/integration tests, Add Docker support"
GitGuardian,ggmcp,GitGuardian/ggmcp,https://github.com/GitGuardian/ggmcp,Python,37,13,12,2352,0,0,1,1,1,1,435,0,Intermediate,69,Great job! Keep it up.
scrapy,scrapy,scrapy/scrapy,https://github.com/scrapy/scrapy,Python,63336,11808,578,31304,1,0,1,0,1,1,5995,0,Production Ready,100,Add Docker support
google-deepmind,qtqp,google-deepmind/qtqp,https://github.com/google-deepmind/qtqp,Python,34,5,2,475,0,0,1,0,1,1,273,0,Intermediate,56,Add Docker support
psychopy,psychopy,psychopy/psychopy,https://github.com/psychopy/psychopy,Python,2049,978,187,305494,0,0,1,0,1,1,5803,0,Production Ready,85,Add Docker support
emulebb,emulebb-build,emulebb/emulebb-build,https://github.com/emulebb/emulebb-build,Python,14,4,4,1823,0,0,1,0,1,1,1511,0,Intermediate,53,Add Docker support
apache,superset,apache/superset,https://github.com/apache/superset,Python,73941,17929,592,1060340,1,1,1,1,1,1,4019,0,Production Ready,100,Great job! Keep it up.
RVC-Project,Retrieval-based-Voice-Conversion-WebUI,RVC-Project/Retrieval-based-Voice-Conversion-WebUI,https://github.com/RVC-Project/Retrieval-based-Voice-Conversion-WebUI,Python,36614,5145,552,15365,1,0,1,0,0,0,1214,0,Production Ready,69,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
silnrsi,font-lateef,silnrsi/font-lateef,https://github.com/silnrsi/font-lateef,Python,15,5,0,56973,1,0,1,0,0,1,3773,0,Beginner,38,"Set up CI/CD workflows, Add Docker support"
TheHaloArchive,ekur,TheHaloArchive/ekur,https://github.com/TheHaloArchive/ekur,Python,29,0,1,5071,0,1,1,0,1,0,544,0,Beginner,34,"Add unit/integration tests, Add Docker support"
antoinecellerier,speaker-tuning-to-easyeffects,antoinecellerier/speaker-tuning-to-easyeffects,https://github.com/antoinecellerier/speaker-tuning-to-easyeffects,Python,53,7,10,2782,1,0,1,0,1,1,145,0,Intermediate,58,Add Docker support
BI4PYM,AutoTLE,BI4PYM/AutoTLE,https://github.com/BI4PYM/AutoTLE,Python,31,8,0,2160,1,0,1,0,0,0,1837,0,Beginner,27,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
python,cpython,python/cpython,https://github.com/python/cpython,Python,73868,34975,9466,853412,0,0,1,0,1,0,3449,0,Production Ready,92,"Add unit/integration tests, Add Docker support"
521xueweihan,GitHub520,521xueweihan/GitHub520,https://github.com/521xueweihan/GitHub520,Python,29160,2728,14,16555,1,0,1,0,1,0,2262,0,Production Ready,81,"Add unit/integration tests, Add Docker support"
skynetcmd,m3-memory,skynetcmd/m3-memory,https://github.com/skynetcmd/m3-memory,Python,15,3,0,15095,1,0,1,0,1,1,147,0,Intermediate,52,Add Docker support
microprediction,skaters,microprediction/skaters,https://github.com/microprediction/skaters,Python,56,2,29,58339,1,1,1,0,1,1,123,0,Intermediate,54,Add Docker support
jgravelle,jcodemunch-mcp,jgravelle/jcodemunch-mcp,https://github.com/jgravelle/jcodemunch-mcp,Python,2047,303,1,13527,1,1,1,1,1,1,164,0,Intermediate,91,Great job! Keep it up.
ScottSloan,Bili23-Downloader,ScottSloan/Bili23-Downloader,https://github.com/ScottSloan/Bili23-Downloader,Python,5903,414,8,20425,1,1,1,0,1,0,1601,0,Production Ready,70,"Add unit/integration tests, Add Docker support"
OppaAI,Aiko-chan,OppaAI/Aiko-chan,https://github.com/OppaAI/Aiko-chan,Python,15,2,0,175957,1,0,1,0,0,1,56,0,Beginner,36,"Set up CI/CD workflows, Add Docker support"
jeffstric,ZJT,jeffstric/ZJT,https://github.com/jeffstric/ZJT,Python,178,44,204,25070,1,0,1,0,1,1,141,0,Intermediate,67,Add Docker support
OHF-Voice,intents,OHF-Voice/intents,https://github.com/OHF-Voice/intents,Python,611,636,116,13883,0,1,1,0,1,1,1321,0,Production Ready,80,Add Docker support
langchain-ai,deepagents,langchain-ai/deepagents,https://github.com/langchain-ai/deepagents,Python,26728,3741,179,208449,0,0,1,0,1,0,360,0,Production Ready,82,"Add unit/integration tests, Add Docker support"
timqian,chinese-independent-blogs,timqian/chinese-independent-blogs,https://github.com/timqian/chinese-independent-blogs,Python,23624,2678,22,10150,1,0,1,0,1,0,2466,0,Production Ready,80,"Add unit/integration tests, Add Docker support"
cds-snc,notification-api,cds-snc/notification-api,https://github.com/cds-snc/notification-api,Python,59,19,38,36956,1,0,1,0,1,1,2578,0,Intermediate,61,Add Docker support
NazmusSayad,Git-Stats,NazmusSayad/Git-Stats,https://github.com/NazmusSayad/Git-Stats,Python,35,2,0,137687,1,0,1,0,1,1,1414,0,Intermediate,53,Add Docker support
pychess,pychess,pychess/pychess,https://github.com/pychess/pychess,Python,805,217,103,40432,1,0,1,0,1,0,4188,0,Production Ready,62,"Add unit/integration tests, Add Docker support"
mmb-irb,MDDB-workflow,mmb-irb/MDDB-workflow,https://github.com/mmb-irb/MDDB-workflow,Python,12,2,11,14265,1,1,1,0,1,1,664,0,Intermediate,50,Add Docker support
strands-labs,robots,strands-labs/robots,https://github.com/strands-labs/robots,Python,104,28,44,30456,0,1,1,0,1,1,153,0,Intermediate,64,Add Docker support
feast-dev,feast,feast-dev/feast,https://github.com/feast-dev/feast,Python,7160,1375,383,290787,0,1,1,0,1,0,2782,0,Production Ready,74,"Add unit/integration tests, Add Docker support"
rhyan10,X-MACE,rhyan10/X-MACE,https://github.com/rhyan10/X-MACE,Python,22,7,2,136630,0,0,1,0,1,1,531,0,Intermediate,55,Add Docker support
gil9red,SimplePyScripts,gil9red/SimplePyScripts,https://github.com/gil9red/SimplePyScripts,Python,153,42,1,108214,0,0,1,0,0,0,4369,0,Beginner,37,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
ingadhoc,odoo-argentina-ee,ingadhoc/odoo-argentina-ee,https://github.com/ingadhoc/odoo-argentina-ee,Python,39,86,54,12602,1,0,1,0,1,0,2255,0,Beginner,50,"Add unit/integration tests, Add Docker support"
koxudaxi,datamodel-code-generator,koxudaxi/datamodel-code-generator,https://github.com/koxudaxi/datamodel-code-generator,Python,3974,449,21,15831,1,0,1,1,1,1,2612,0,Intermediate,94,Great job! Keep it up.
tokenfuzz,tokenfuzz,tokenfuzz/tokenfuzz,https://github.com/tokenfuzz/tokenfuzz,Python,17,1,0,7304,0,1,1,0,1,1,63,0,Intermediate,50,Add Docker support
omnigent-ai,omnigent,omnigent-ai/omnigent,https://github.com/omnigent-ai/omnigent,Python,7666,1098,676,83038,1,0,1,0,1,1,42,0,Production Ready,89,Add Docker support
shaman007,home-k3s,shaman007/home-k3s,https://github.com/shaman007/home-k3s,Python,25,1,3,4036,1,0,1,0,1,1,985,0,Intermediate,51,Add Docker support
mkb79,Audible,mkb79/Audible,https://github.com/mkb79/Audible,Python,408,39,4,3041,0,0,1,0,1,1,2592,0,Intermediate,69,Add Docker support
MohammadBahemmat,V2ray-Collector,MohammadBahemmat/V2ray-Collector,https://github.com/MohammadBahemmat/V2ray-Collector,Python,64,65,0,24367553,0,0,1,0,1,0,85,0,Beginner,51,"Add unit/integration tests, Add Docker support"
Olshansk,rss-feeds,Olshansk/rss-feeds,https://github.com/Olshansk/rss-feeds,Python,649,68,26,26608,0,0,1,0,1,0,564,0,Beginner,57,"Add unit/integration tests, Add Docker support"
rommapp,romm,rommapp/romm,https://github.com/rommapp/romm,Python,11200,597,133,423110,0,1,1,1,1,0,1232,0,Production Ready,83,Add unit/integration tests
ViciousSquid,Fio,ViciousSquid/Fio,https://github.com/ViciousSquid/Fio,Python,128,9,0,61675,1,0,1,1,1,0,384,0,Intermediate,56,Add unit/integration tests
SentinelOps-CI,provability-fabric,SentinelOps-CI/provability-fabric,https://github.com/SentinelOps-CI/provability-fabric,Python,12,2,16,199393,1,0,1,1,1,1,359,0,Intermediate,60,Great job! Keep it up.
pytorch,executorch,pytorch/executorch,https://github.com/pytorch/executorch,Python,4824,1085,1405,358764,1,1,1,0,1,1,1608,0,Production Ready,88,Add Docker support
getsentry,arroyo,getsentry/arroyo,https://github.com/getsentry/arroyo,Python,62,6,32,1788,1,1,1,0,1,1,1867,0,Intermediate,58,Add Docker support
langflow-ai,langflow,langflow-ai/langflow,https://github.com/langflow-ai/langflow,Python,152268,9635,980,1438570,1,1,1,0,1,0,1260,0,Production Ready,90,"Add unit/integration tests, Add Docker support"
yuanxiawan,cfipv4db,yuanxiawan/cfipv4db,https://github.com/yuanxiawan/cfipv4db,Python,24,14,1,38087,1,0,1,0,1,0,661,0,Beginner,43,"Add unit/integration tests, Add Docker support"
ourresearch,openalex-elastic-api,ourresearch/openalex-elastic-api,https://github.com/ourresearch/openalex-elastic-api,Python,43,11,1,48464,1,0,1,0,1,1,1687,0,Intermediate,59,Add Docker support
CitrineInformatics,citrine-python,CitrineInformatics/citrine-python,https://github.com/CitrineInformatics/citrine-python,Python,22,7,2,26273,0,1,1,0,1,1,2509,0,Intermediate,55,Add Docker support
xingpingcn,enhanced-FaaS-in-China,xingpingcn/enhanced-FaaS-in-China,https://github.com/xingpingcn/enhanced-FaaS-in-China,Python,3044,177,1,27704,0,0,1,1,0,0,868,0,Beginner,60,"Add unit/integration tests, Set up CI/CD workflows"
krau,kmua-bot,krau/kmua-bot,https://github.com/krau/kmua-bot,Python,232,29,4,73147,1,1,1,1,1,0,1328,0,Intermediate,61,Add unit/integration tests
ethereum,pm,ethereum/pm,https://github.com/ethereum/pm,Python,1882,481,10,52493,1,0,1,0,1,0,3582,0,Production Ready,67,"Add unit/integration tests, Add Docker support"
fuyuxiang,echo-agent,fuyuxiang/echo-agent,https://github.com/fuyuxiang/echo-agent,Python,732,21,2,7485,1,0,1,0,1,1,130,0,Intermediate,68,Add Docker support
evangit2,guanaco,evangit2/guanaco,https://github.com/evangit2/guanaco,Python,13,1,1,1515,1,0,1,0,1,1,104,0,Intermediate,49,Add Docker support
meltano,meltano,meltano/meltano,https://github.com/meltano/meltano,Python,2567,258,155,158399,0,0,1,0,1,1,1857,0,Production Ready,81,Add Docker support
n-IA-hane,esphome-intercom,n-IA-hane/esphome-intercom,https://github.com/n-IA-hane/esphome-intercom,Python,185,21,6,107673,1,0,1,0,1,1,185,0,Intermediate,65,Add Docker support
vertelab,odoo-ai,vertelab/odoo-ai,https://github.com/vertelab/odoo-ai,Python,26,18,1,97507,1,0,1,0,0,0,937,0,Beginner,29,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
EverMind-AI,Raven,EverMind-AI/Raven,https://github.com/EverMind-AI/Raven,Python,2567,45,51,13130,0,0,1,0,1,1,63,0,Intermediate,75,Add Docker support
huggingface,trl,huggingface/trl,https://github.com/huggingface/trl,Python,18913,2860,287,24870,1,0,1,0,1,1,2309,0,Production Ready,95,Add Docker support
huggingface,huggingface_hub,huggingface/huggingface_hub,https://github.com/huggingface/huggingface_hub,Python,3762,1110,193,46011,0,0,1,0,1,1,2039,0,Production Ready,87,Add Docker support
megumiss,NIKKEAutoScript,megumiss/NIKKEAutoScript,https://github.com/megumiss/NIKKEAutoScript,Python,481,20,14,330883,1,0,1,1,1,0,436,0,Intermediate,62,Add unit/integration tests
ProfLeao,pyglenn,ProfLeao/pyglenn,https://github.com/ProfLeao/pyglenn,Python,17,1,0,3297,1,1,1,0,1,1,248,0,Intermediate,50,Add Docker support
faccts,opi,faccts/opi,https://github.com/faccts/opi,Python,181,33,33,14648,0,0,1,0,1,1,402,0,Intermediate,66,Add Docker support
samsarahq,samsara-python,samsarahq/samsara-python,https://github.com/samsarahq/samsara-python,Python,26,11,3,11784,0,0,1,0,1,1,3624,0,Intermediate,57,Add Docker support
Qualcomm-AI-research,fastforward,Qualcomm-AI-research/fastforward,https://github.com/Qualcomm-AI-research/fastforward,Python,52,0,1,10761,1,1,1,0,1,1,590,0,Intermediate,50,Add Docker support
azagoruyko,skeleposer,azagoruyko/skeleposer,https://github.com/azagoruyko/skeleposer,Python,29,5,0,515,1,0,1,0,0,0,1587,0,Beginner,25,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
qgisred,QGISRed,qgisred/QGISRed,https://github.com/qgisred/QGISRed,Python,35,10,53,62790,1,0,1,0,0,1,2627,0,Beginner,43,"Set up CI/CD workflows, Add Docker support"
python-morgan,morgan,python-morgan/morgan,https://github.com/python-morgan/morgan,Python,121,15,15,140,0,0,1,0,1,1,1423,0,Intermediate,62,Add Docker support
jexchan,dailyup-second-brain-starter,jexchan/dailyup-second-brain-starter,https://github.com/jexchan/dailyup-second-brain-starter,Python,28,10,0,289,1,0,1,0,0,0,90,0,Beginner,27,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
ogx-ai,ogx,ogx-ai/ogx,https://github.com/ogx-ai/ogx,Python,8419,1329,140,77449,0,0,1,0,1,1,757,0,Production Ready,90,Add Docker support
xorq-labs,xorq,xorq-labs/xorq,https://github.com/xorq-labs/xorq,Python,538,33,160,47640,0,1,1,0,1,0,1031,0,Production Ready,54,"Add unit/integration tests, Add Docker support"
langchain-ai,langchain,langchain-ai/langchain,https://github.com/langchain-ai/langchain,Python,142416,23700,450,588357,0,0,1,0,1,0,1375,0,Production Ready,93,"Add unit/integration tests, Add Docker support"
tractometry,pyAFQ,tractometry/pyAFQ,https://github.com/tractometry/pyAFQ,Python,21,9,20,497153,1,1,1,0,1,1,706,0,Intermediate,56,Add Docker support
cubeplexai,cubepi,cubeplexai/cubepi,https://github.com/cubeplexai/cubepi,Python,30,6,1,4838,1,0,1,0,1,1,75,0,Intermediate,56,Add Docker support
SukiYume,DRAFTS,SukiYume/DRAFTS,https://github.com/SukiYume/DRAFTS,Python,23,1,0,8984,1,0,1,0,0,0,1108,0,Beginner,21,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
Snailflyer,faryo,Snailflyer/faryo,https://github.com/Snailflyer/faryo,Python,19,2,0,1890,0,0,1,0,1,0,68,2,Beginner,37,"Add unit/integration tests, Add Docker support"
mwojtyczka,databricks-dbt-factory,mwojtyczka/databricks-dbt-factory,https://github.com/mwojtyczka/databricks-dbt-factory,Python,23,8,5,2097,0,0,1,0,1,1,595,0,Intermediate,56,Add Docker support
AuuCoder,gptGrok2api,AuuCoder/gptGrok2api,https://github.com/AuuCoder/gptGrok2api,Python,82,28,0,6121,0,0,1,1,1,0,8,0,Intermediate,59,Add unit/integration tests
xhyumiracle,tg-claude-bot,xhyumiracle/tg-claude-bot,https://github.com/xhyumiracle/tg-claude-bot,Python,11,0,0,832,1,0,1,0,0,0,1,0,Beginner,16,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
griptape-ai,griptape-nodes-engine,griptape-ai/griptape-nodes-engine,https://github.com/griptape-ai/griptape-nodes-engine,Python,81,12,692,103200,1,0,1,1,1,1,488,0,Intermediate,71,Great job! Keep it up.
docling-project,docling,docling-project/docling,https://github.com/docling-project/docling,Python,63672,4512,936,337390,0,1,1,1,1,1,744,0,Production Ready,100,Great job! Keep it up.
imran31415,kube-coder,imran31415/kube-coder,https://github.com/imran31415/kube-coder,Python,298,22,32,38293,0,0,1,0,1,0,338,0,Beginner,51,"Add unit/integration tests, Add Docker support"
apache,tooling-trusted-releases,apache/tooling-trusted-releases,https://github.com/apache/tooling-trusted-releases,Python,28,24,84,18801,0,0,1,1,1,1,527,0,Intermediate,70,Great job! Keep it up.
diningphil,mlwiz,diningphil/mlwiz,https://github.com/diningphil/mlwiz,Python,15,0,4,14295,0,0,1,0,1,1,739,0,Intermediate,47,Add Docker support
andrewyng,openworker,andrewyng/openworker,https://github.com/andrewyng/openworker,Python,13,2,1,2328,0,0,1,0,1,1,3,0,Intermediate,51,Add Docker support
YanMing-lxb,PyTeXMK,YanMing-lxb/PyTeXMK,https://github.com/YanMing-lxb/PyTeXMK,Python,19,0,1,2336,1,0,1,0,1,1,876,0,Intermediate,48,Add Docker support
avocado-framework,avocado-vt,avocado-framework/avocado-vt,https://github.com/avocado-framework/avocado-vt,Python,96,269,212,40925,1,0,1,0,1,0,4075,0,Production Ready,57,"Add unit/integration tests, Add Docker support"
quodeq,quodeq,quodeq/quodeq,https://github.com/quodeq/quodeq,Python,23,1,0,16114,1,1,1,0,1,1,147,0,Intermediate,51,Add Docker support
gbtami,pychess-variants,gbtami/pychess-variants,https://github.com/gbtami/pychess-variants,Python,298,138,86,152931,1,0,1,1,1,1,2642,0,Intermediate,83,Great job! Keep it up.
hugohe3,ppt-master,hugohe3/ppt-master,https://github.com/hugohe3/ppt-master,Python,40742,3387,3,788391,1,1,1,0,1,0,225,0,Production Ready,82,"Add unit/integration tests, Add Docker support"
data-liberation-project,aphis-inspection-reports,data-liberation-project/aphis-inspection-reports,https://github.com/data-liberation-project/aphis-inspection-reports,Python,18,6,8,7222049,0,1,1,0,1,1,1316,0,Intermediate,54,Add Docker support
PeopleForBikes,brokenspoke-analyzer,PeopleForBikes/brokenspoke-analyzer,https://github.com/PeopleForBikes/brokenspoke-analyzer,Python,13,8,19,11844,1,1,1,1,1,1,1460,0,Intermediate,65,Great job! Keep it up.
credativ,credativ-pg-migrator,credativ/credativ-pg-migrator,https://github.com/credativ/credativ-pg-migrator,Python,14,0,8,4464,1,0,1,0,0,0,416,0,Beginner,17,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
yeasy,blockchain_guide,yeasy/blockchain_guide,https://github.com/yeasy/blockchain_guide,Python,7072,1947,1,42943,1,1,1,0,1,1,3697,0,Production Ready,91,Add Docker support
NYCPlanning,data-engineering,NYCPlanning/data-engineering,https://github.com/NYCPlanning/data-engineering,Python,42,3,162,187390,1,1,1,0,1,0,1147,0,Beginner,40,"Add unit/integration tests, Add Docker support"
ARM-DOE,ACT,ARM-DOE/ACT,https://github.com/ARM-DOE/ACT,Python,189,43,16,369121,1,1,1,0,1,1,2690,0,Intermediate,67,Add Docker support
Jonty,uk_petitions_data,Jonty/uk_petitions_data,https://github.com/Jonty/uk_petitions_data,Python,16,3,0,8144797,1,0,1,0,1,0,3482,0,Beginner,37,"Add unit/integration tests, Add Docker support"
HKUDS,DeepTutor,HKUDS/DeepTutor,https://github.com/HKUDS/DeepTutor,Python,29313,3856,61,218687,0,1,1,1,1,1,206,0,Production Ready,100,Great job! Keep it up.
smiRaphi,UniPyX,smiRaphi/UniPyX,https://github.com/smiRaphi/UniPyX,Python,20,3,5,90784,0,0,1,0,0,0,382,0,Beginner,23,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
ungoogled-software,ungoogled-chromium,ungoogled-software/ungoogled-chromium,https://github.com/ungoogled-software/ungoogled-chromium,Python,27209,1227,176,17958,1,0,1,0,1,0,4058,0,Production Ready,78,"Add unit/integration tests, Add Docker support"
ori-platform,ori-runtime,ori-platform/ori-runtime,https://github.com/ori-platform/ori-runtime,Python,16,4,4,2019,0,0,1,0,1,1,117,0,Intermediate,53,Add Docker support
ibuilder,massing,ibuilder/massing,https://github.com/ibuilder/massing,Python,114,56,23,18609,0,1,1,1,1,0,38,0,Intermediate,62,Add unit/integration tests
lanl,BEE,lanl/BEE,https://github.com/lanl/BEE,Python,22,6,178,64304,1,1,1,0,1,1,3026,0,Intermediate,55,Add Docker support
mozilla-services,merino-py,mozilla-services/merino-py,https://github.com/mozilla-services/merino-py,Python,18,19,14,24415,1,1,1,0,1,1,1476,0,Intermediate,58,Add Docker support
yeasy,openclaw_guide,yeasy/openclaw_guide,https://github.com/yeasy/openclaw_guide,Python,182,34,1,2390,1,0,1,0,1,1,152,0,Intermediate,66,Add Docker support
kvcache-ai,ktransformers,kvcache-ai/ktransformers,https://github.com/kvcache-ai/ktransformers,Python,18939,1480,468,64393,0,1,1,0,1,0,727,0,Production Ready,77,"Add unit/integration tests, Add Docker support"
electrolux-oss,infrakitchen,electrolux-oss/infrakitchen,https://github.com/electrolux-oss/infrakitchen,Python,115,11,8,8162,1,1,1,0,1,0,401,0,Beginner,46,"Add unit/integration tests, Add Docker support"
T3stAcc,V2Ray,T3stAcc/V2Ray,https://github.com/T3stAcc/V2Ray,Python,19,1,0,947792,1,0,1,0,1,0,412,0,Beginner,35,"Add unit/integration tests, Add Docker support"
maimengmeng,mysub,maimengmeng/mysub,https://github.com/maimengmeng/mysub,Python,13,5,0,172764,0,0,1,0,1,0,506,0,Beginner,38,"Add unit/integration tests, Add Docker support"
ansys,pydpf-core,ansys/pydpf-core,https://github.com/ansys/pydpf-core,Python,90,24,239,2456465,0,1,1,0,1,1,2151,0,Production Ready,63,Add Docker support
scipy,scipy,scipy/scipy,https://github.com/scipy/scipy,Python,14839,5817,1848,203611,1,0,1,0,1,1,5614,0,Production Ready,97,Add Docker support
nasa,opera-sds-pcm,nasa/opera-sds-pcm,https://github.com/nasa/opera-sds-pcm,Python,29,25,83,549294,1,0,1,0,0,1,1735,0,Beginner,45,"Set up CI/CD workflows, Add Docker support"
google,GNM,google/GNM,https://github.com/google/GNM,Python,1160,131,9,408055,0,0,1,0,1,0,122,0,Beginner,61,"Add unit/integration tests, Add Docker support"
SQLMesh,sqlmesh,SQLMesh/sqlmesh,https://github.com/SQLMesh/sqlmesh,Python,3214,413,261,88617,1,0,1,0,1,1,1398,0,Production Ready,83,Add Docker support
BuddyChewChew,sports,BuddyChewChew/sports,https://github.com/BuddyChewChew/sports,Python,13,6,1,51093,1,0,1,0,1,0,188,0,Beginner,39,"Add unit/integration tests, Add Docker support"
elliotwutingfeng,ThreatFox-IOC-IPs,elliotwutingfeng/ThreatFox-IOC-IPs,https://github.com/elliotwutingfeng/ThreatFox-IOC-IPs,Python,59,1,3,24482,0,0,1,0,1,0,1362,0,Beginner,38,"Add unit/integration tests, Add Docker support"
davekilleen,Dex,davekilleen/Dex,https://github.com/davekilleen/Dex,Python,442,121,13,7059,1,0,1,0,1,0,178,0,Beginner,58,"Add unit/integration tests, Add Docker support"
zeegin,v8std,zeegin/v8std,https://github.com/zeegin/v8std,Python,97,19,3,14533,0,1,1,0,1,1,515,0,Intermediate,63,Add Docker support
tongzhouxu,mashpit,tongzhouxu/mashpit,https://github.com/tongzhouxu/mashpit,Python,14,4,3,6349,1,0,1,0,1,1,2451,0,Intermediate,53,Add Docker support
yeasy,ai_beginner_guide,yeasy/ai_beginner_guide,https://github.com/yeasy/ai_beginner_guide,Python,144,27,1,8538,1,0,1,0,1,1,180,0,Intermediate,65,Add Docker support
sadaszewski,focker,sadaszewski/focker,https://github.com/sadaszewski/focker,Python,155,12,5,597,1,0,1,0,0,1,2277,0,Beginner,47,"Set up CI/CD workflows, Add Docker support"
OpenHands,OpenHands,OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,Python,81833,10458,373,358907,1,1,1,1,1,1,862,0,Production Ready,100,Great job! Keep it up.
Shayanthn,V2ray-Tester-Pro,Shayanthn/V2ray-Tester-Pro,https://github.com/Shayanthn/V2ray-Tester-Pro,Python,60,10,4,309812,1,0,1,1,1,1,389,0,Intermediate,69,Great job! Keep it up.
dagster-io,dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,Python,15883,2214,2590,1457599,0,0,1,0,1,0,3005,0,Production Ready,78,"Add unit/integration tests, Add Docker support"
escapecloud,cloudexit,escapecloud/cloudexit,https://github.com/escapecloud/cloudexit,Python,152,4,2,14225,0,0,1,0,1,1,627,0,Intermediate,59,Add Docker support
AMD-AGI,Magpie,AMD-AGI/Magpie,https://github.com/AMD-AGI/Magpie,Python,56,7,4,3735,1,0,1,0,0,1,239,0,Beginner,43,"Set up CI/CD workflows, Add Docker support"
broadinstitute,viral-ngs,broadinstitute/viral-ngs,https://github.com/broadinstitute/viral-ngs,Python,198,67,3,69809,1,0,1,0,1,1,4318,0,Intermediate,69,Add Docker support
lestrrat-ai,claude-code-plugins,lestrrat-ai/claude-code-plugins,https://github.com/lestrrat-ai/claude-code-plugins,Python,17,0,15,2219,1,0,1,0,1,0,13,0,Beginner,32,"Add unit/integration tests, Add Docker support"
Galorhallen,govee-local-api,Galorhallen/govee-local-api,https://github.com/Galorhallen/govee-local-api,Python,60,60,51,362,1,0,1,0,1,1,1275,0,Intermediate,65,Add Docker support
openwisp,openwisp-users,openwisp/openwisp-users,https://github.com/openwisp/openwisp-users,Python,179,96,15,2172,0,0,1,1,1,1,3425,0,Intermediate,80,Great job! Keep it up.
openwisp,openwisp-radius,openwisp/openwisp-radius,https://github.com/openwisp/openwisp-radius,Python,439,230,28,12416,1,0,1,1,1,1,2908,0,Intermediate,85,Great job! Keep it up.
Regert888,gpt-outlook-register,Regert888/gpt-outlook-register,https://github.com/Regert888/gpt-outlook-register,Python,316,103,1,81,1,0,1,0,0,0,45,0,Beginner,42,"Add unit/integration tests, Set up CI/CD workflows, Add Docker support"
aiidateam,aiida-quantumespresso,aiidateam/aiida-quantumespresso,https://github.com/aiidateam/aiida-quantumespresso,Python,88,102,162,7683,1,0,1,0,1,1,3320,0,Intermediate,68,Add Docker support
openwisp,openwisp-network-topology,openwisp/openwisp-network-topology,https://github.com/openwisp/openwisp-network-topology,Python,258,94,10,40910,0,0,1,1,1,1,3341,0,Intermediate,81,Great job! Keep it up.
